Site_old,Site_new,Treatment,Year,Date_ID,Vial_ID,Order,Family,Identification,Count
N1,L9,Defoliated,2019,28-Jul,L9919KKI-CHRNDAEP1,Diptera,,Chironomidae-pupa,1
N1,L9,Defoliated,2019,08-Jun,L9919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetidae,2
N1,L9,Defoliated,2019,08-Jun,L9919KKI-PARALEP1,Ephemeroptera,Leptophlebiidae,Paraleptophebia,1
N1,L9,Defoliated,2019,08-Jun,L9919KKI-EP1,Ephemeroptera,Leptophlebiidae,Epeorus,22
N1,L9,Defoliated,2019,08-Jun,L9919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,22
N1,L9,Defoliated,2019,08-Jun,L9919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,22
N1,L9,Defoliated,2019,10-Jun,L9919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,4
N1,L9,Defoliated,2019,18-Jun,L9919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,20
N1,L9,Defoliated,2019,18-Jun,L9919KKI-CHLDAE2,Plecoptera,Chloroperlidae,Chloroperlidae,20
N1,L9,Defoliated,2019,18-Jun,L9919KKI-CHLDAE3,Plecoptera,Chloroperlidae,Chloroperlidae,21
N1,L9,Defoliated,2019,28-Jul,L9919KKI-PLODDAE1,Plecoptera,Perlodidae,Perlodidae,3
N1,L9,Defoliated,2019,28-Jul,L9919KKI-ZAP1,Plecoptera,Nemoridae,Zapada,1
N1,L9,Defoliated,2019,Graydon,L9919KKI-TNOPTYX,Plecoptera,Taeniopterygidae,Taeniopteryx,4
N1,L9,Defoliated,2019,12-Jun,L9919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,6
N1,L9,Defoliated,2019,12-Jun,L9919KKI-DOLOPH1,Trichoptera,Philopotamidae,Dolophilodes,4
N1,L9,Defoliated,2019,12-Jun,L9919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,9
N1,L9,Defoliated,2019,12-Jun,L9919KKI-RHYCPH2,Trichoptera,Rhyacophilidae,Rhyacophila,8
S4,U1,Defoliated,2019,11-Jun,K9919KKI-SIMDAEP1,Diptera,Simuliidae,Simuliidae-pupa,25
S4,U1,Defoliated,2019,11-Jun,,Diptera,Simuliidae,Simuliidae-pupa-empty,17
S4,U1,Defoliated,2019,25-Jun,U1919KKI-SIMDAE1,Diptera,Simuliidae,Simuliidae,10
S4,U1,Defoliated,2019,25-Jun,U1919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,10
S4,U1,Defoliated,2019,28-Jul,U1919KKI-CHRNDAE2,Diptera,Chironomidae,Chironomidae,10
S4,U1,Defoliated,2019,28-Jul,U1919KKI-CHRNDAE3,Diptera,Chironomidae,Chironomidae,6
S4,U1,Defoliated,2019,28-Jul,U1919KKI-DIPT1,Diptera,,Ceratopogonidae,1
S4,U1,Defoliated,2019,14-May,U1919KKI-LEPTDAE1,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,4
S4,U1,Defoliated,2019,14-May,U1919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,25
S4,U1,Defoliated,2019,14-May,U1919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,25
S4,U1,Defoliated,2019,14-May,U1919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,25
S4,U1,Defoliated,2019,10-Jun,U1919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,13
S4,U1,Defoliated,2019,10-Jun,U1919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetis,4
S4,U1,Defoliated,2019,10-Jun,U1919KKI-ZAP1,Plecoptera,Nemoridae,Zapada,10
S4,U1,Defoliated,2019,26-Jun,U1919KKI-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,4
S4,U1,Defoliated,2019,26-Jun,U1919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,25
S4,U1,Defoliated,2019,26-Jun,U1919KKI-CHLDAE2,Plecoptera,Chloroperlidae,Chloroperlidae,25
S4,U1,Defoliated,2019,26-Jun,U1919KKI-CHLDAE3,Plecoptera,Chloroperlidae,Chloroperlidae,24
S4,U1,Defoliated,2019,10-Jun,U1919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,8
S4,U1,Defoliated,2019,10-Jun,U1919KKI-DOLOPH1,Trichoptera,Philopotamidae,Dolophilodes,13
S4,U1,Defoliated,2019,26-Jun,U1919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,1
S5,U2,Spray,2019,14-May,U2919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetidae,5
S5,U2,Spray,2019,08-Jun,U2919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,1
S5,U2,Spray,2019,08-Jun,U2919KKI-RHITH1,Ephemeroptera,Heptageniidae,Rhithrogena,2
S5,U2,Spray,2019,08-Jun,U2919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,20
S5,U2,Spray,2019,08-Jun,U2919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,20
S5,U2,Spray,2019,08-Jun,U2919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,20
S5,U2,Spray,2019,28-Jul,U2919KKI-DRNLA1,Ephemeroptera,Ephemerellidae,Drunella,1
S5,U2,Spray,2019,10-Jun,U2919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,3
S5,U2,Spray,2019,Graydon,U2919KKI-PELIDAE1,Plecoptera,Perlidae,Perlidae,2
S5,U2,Spray,2019,Graydon,U2919KKI-TNOPDAE1,Plecoptera,Taeniopterygidae,Taeniopterygidae,2
S5,U2,Spray,2019,11-Jun,U2919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,8
S5,U2,Spray,2019,11-Jun,U2919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,10
S5,U2,Spray,2019,11-Jun,U2919KKI-RHYCPH2,Trichoptera,Rhyacophilidae,Rhyacophila,10
S5,U2,Spray,2019,11-Jun,U2919KKI-RHYCPH3,Trichoptera,Rhyacophilidae,Rhyacophila,10
S6,U3,Spray,2019,27-Jul,U3919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,4
S6,U3,Spray,2019,27-Jul,U3919KKI-CHRNDAE2,Diptera,Chironomidae,Chironomidae,9
S6,U3,Spray,2019,27-Jul,U3919KKI-CHRNDAE3,Diptera,Chironomidae,Chironomidae,11
S6,U3,Spray,2019,27-Jul,U3919KKI-CHRNDAE4,Diptera,Chironomidae,Chironomidae,2
S6,U3,Spray,2019,09-Jun,U3919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,1
S6,U3,Spray,2019,09-Jun,U3919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,10
S6,U3,Spray,2019,09-Jun,U3919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,18
S6,U3,Spray,2019,10-Jun,U3919KKI-TNOPDAE1,Plecoptera,Taeniopterygidae,Taeniopterygidae,2
S6,U3,Spray,2019,25-Jun,U3919KKI-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,1
S6,U3,Spray,2019,25-Jun,U3919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,16
S6,U3,Spray,2019,12-Jun,U3919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,9
S6,U3,Spray,2019,12-Jun,U3919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,10
S6,U3,Spray,2019,12-Jun,U3919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,8
S6,U3,Spray,2019,25-Jun,U3919KKI-DOLOPH1,Trichoptera,Philopotamidae,Dolophilodes,3
S6,U3,Spray,2019,25-Jun,U3919KKI-DYSTDAE1,Coleoptera,Dysticidae,Dysticidae,1
,,,,,,,,,
,,,,,,,,,
